Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,665,631,639,666,675,590,708,589,613,568,507,586,578,365,404,458,401,408
,CRIMINAL TRESPASS,28,27,15,25,37,48,35,44,38,32,43,50,66,41,26,33,48,40
,UNAUTHORIZED USE OF A VEHICLE           ,44,61,25,23,19,6,6,19,29,19,21,23,33,54,64,47,56,36
,OFFENSES AGAINST THE PERSON (7)      ,6,8,13,8,8,6,3,9,9,14,10,6,10,11,5,17,17,11
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),48,74,78,37,49,98,83,93,74,78,74,72,70,68,48,36,54,60
,ADMINISTRATIVE CODE (6)            ,40,26,27,23,16,21,6,16,15,24,23,16,13,9,9,24,19,16
,FRAUDS (3)                    ,109,174,114,98,59,41,67,41,33,19,19,38,63,52,48,65,70,25
,AGGRAVATED HARASSMENT 2               ,526,538,405,472,480,474,470,458,471,410,376,315,276,266,214,264,295,266
,OTHER MISDEMEANORS (8),53,41,30,19,33,29,37,37,25,31,95,39,46,43,50,147,141,123
,TOTAL MISDEMEANOR OFFENSES,3551,3814,3735,3424,3498,3348,3437,3277,3379,3310,3282,3363,3104,2763,2764,2821,2776,2520
66,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,18,12,19,15,17,30,48,56,52,20,25,33,45,8,10,7,11
,MISDEMEANOR SEX CRIMES (4),64,84,51,48,50,46,56,57,68,66,69,67,68,67,52,64,56,79
,MISDEMEANOR DANGEROUS DRUGS  (1),359,433,538,251,214,236,219,192,107,154,236,143,119,107,171,197,229,142
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,10,25,26,25,27,23,21,19,15,27,18,21,22,26,35,33,31
,PETIT LARCENY                         ,1071,1096,1250,1216,948,891,912,833,984,924,896,931,958,986,933,903,858,794
,ASSAULT 3 AND RELATED OFFENSES        ,571,601,449,493,508,539,573,509,463,488,463,441,478,438,394,349,312,325
,INTOXICATED & IMPAIRED DRIVING              ,32,29,50,28,47,58,63,93,103,74,74,59,67,83,92,110,100,88
,VEHICLE AND TRAFFIC LAWS              ,134,107,101,106,82,72,55,55,56,68,66,93,80,63,75,84,90,95
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,731,615,586,735,653,561,547,586,758,759,714,576,468,456,378,407,344,343
,CRIMINAL TRESPASS,37,48,52,35,50,61,28,40,49,39,44,46,80,68,82,49,61,66
,UNAUTHORIZED USE OF A VEHICLE           ,19,17,17,15,14,8,9,11,17,23,17,17,28,38,27,38,33,30
,OFFENSES AGAINST THE PERSON (7)      ,8,7,15,7,3,11,16,5,9,12,6,8,4,5,4,4,7,7
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),29,24,17,14,23,13,36,25,27,31,25,17,14,23,15,16,11,13
,ADMINISTRATIVE CODE (6)            ,24,22,15,12,7,8,20,9,10,16,15,20,16,11,18,16,10,8
,FRAUDS (3)                    ,79,79,38,26,38,29,26,19,25,21,15,17,30,23,23,20,19,23
,AGGRAVATED HARASSMENT 2               ,534,513,382,374,375,395,405,373,310,279,290,289,255,229,199,182,233,180
,OTHER MISDEMEANORS (8),122,115,96,100,113,150,89,71,79,70,63,101,81,94,97,134,157,157
,TOTAL MISDEMEANOR OFFENSES,3831,3818,3694,3505,3165,3122,3107,2947,3140,3091,3040,2868,2800,2758,2594,2618,2560,2392
67,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,16,38,27,27,20,20,17,15,16,21,18,22,28,16,15,14,15
,MISDEMEANOR SEX CRIMES (4),90,92,93,76,80,93,101,93,80,111,80,76,92,88,97,85,94,140
,MISDEMEANOR DANGEROUS DRUGS  (1),2300,3035,2434,1910,1522,1533,1381,2008,1514,1773,1665,1710,1327,1253,988,692,493,537
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,67,83,114,101,95,102,112,95,77,149,92,62,94,81,82,83,36,45
,PETIT LARCENY                         ,1139,1116,1072,1153,1091,1005,933,929,935,953,939,832,910,965,991,1001,1003,1091
,ASSAULT 3 AND RELATED OFFENSES        ,1465,1634,1439,1380,1328,1412,1387,1156,1259,1226,1117,1287,1265,1298,1511,1032,898,834
,INTOXICATED & IMPAIRED DRIVING              ,45,50,51,84,100,124,125,106,97,94,121,103,138,211,224,207,193,101
,VEHICLE AND TRAFFIC LAWS              ,245,197,96,98,73,87,61,89,83,105,107,94,128,134,148,118,131,160
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,956,784,864,768,708,720,908,658,716,660,713,671,676,539,577,715,753,761
,CRIMINAL TRESPASS,116,138,90,127,81,49,74,76,118,112,142,118,202,101,100,110,123,192
,UNAUTHORIZED USE OF A VEHICLE           ,28,30,18,32,15,24,12,23,27,27,29,19,19,27,53,47,48,29
,OFFENSES AGAINST THE PERSON (7)      ,19,18,16,8,13,24,31,21,17,19,19,13,12,23,20,26,25,31
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),106,181,145,117,158,166,182,144,127,132,138,127,113,126,144,113,78,80
,ADMINISTRATIVE CODE (6)            ,73,80,57,63,49,58,44,24,32,39,35,31,47,54,47,52,70,45
,FRAUDS (3)                    ,240,272,112,107,72,53,49,40,47,42,40,69,64,57,117,118,131,157
,AGGRAVATED HARASSMENT 2               ,868,948,797,851,793,730,701,634,598,572,587,546,583,611,324,358,445,367
,OTHER MISDEMEANORS (8),238,275,183,217,167,225,279,259,184,209,216,296,406,332,275,608,578,603
,TOTAL MISDEMEANOR OFFENSES,8004,8949,7619,7119,6372,6425,6400,6372,5926,6239,6061,6072,6098,5928,5714,5380,5113,5188
68,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14,11,10,10,11,5,6,4,9,10,35,33,12,21,7,15,8,11
,MISDEMEANOR SEX CRIMES (4),32,55,44,15,37,36,34,33,50,36,47,34,39,25,34,15,39,45
,MISDEMEANOR DANGEROUS DRUGS  (1),333,333,444,222,105,57,180,332,244,299,400,435,290,272,291,264,607,616
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,17,31,27,13,18,32,16,34,31,45,35,32,27,58,47,50,57,73
,PETIT LARCENY                         ,994,898,859,807,942,791,896,945,965,1006,1215,943,1084,1041,889,887,930,861
,ASSAULT 3 AND RELATED OFFENSES        ,391,424,405,404,412,442,442,381,432,484,449,393,390,388,366,326,354,290
,INTOXICATED & IMPAIRED DRIVING              ,55,85,88,53,82,134,168,173,155,283,162,136,215,245,182,122,138,142
,VEHICLE AND TRAFFIC LAWS              ,83,91,61,69,64,73,62,64,69,51,64,68,56,62,50,54,42,56
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,605,539,587,536,572,438,551,684,679,600,546,438,557,494,419,417,389,317
,CRIMINAL TRESPASS,37,71,64,46,40,61,34,27,42,62,60,49,22,32,67,69,53,47
,UNAUTHORIZED USE OF A VEHICLE           ,22,20,15,9,13,10,12,8,12,18,11,5,15,10,28,21,23,37
,OFFENSES AGAINST THE PERSON (7)      ,14,23,8,15,20,8,5,18,14,15,13,8,12,5,3,11,13,5
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),37,40,44,27,19,18,31,53,42,54,44,45,42,38,45,48,42,65
,ADMINISTRATIVE CODE (6)            ,10,17,16,11,7,15,11,16,22,3,9,9,13,7,8,6,7,9
,FRAUDS (3)                    ,130,153,47,58,18,23,14,22,16,18,43,18,37,44,59,54,45,58
,AGGRAVATED HARASSMENT 2               ,500,598,461,461,482,459,459,420,442,438,432,389,362,358,298,306,343,292
,OTHER MISDEMEANORS (8),111,136,135,106,96,164,120,62,72,82,94,95,88,105,94,176,162,121
,TOTAL MISDEMEANOR OFFENSES,3385,3525,3315,2862,2938,2766,3041,3276,3296,3504,3659,3130,3261,3205,2887,2847,3252,3045
69,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11,17,9,14,9,14,12,12,13,24,14,21,25,11,4,6,4,7
,MISDEMEANOR SEX CRIMES (4),50,63,50,45,49,38,59,64,55,39,49,36,73,47,38,41,57,64
,MISDEMEANOR DANGEROUS DRUGS  (1),572,370,425,206,227,405,645,715,535,515,585,545,442,317,407,243,343,423
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,44,48,44,37,41,47,68,62,81,58,64,101,67,55,41,38,23,16
,PETIT LARCENY                         ,859,828,761,667,721,733,635,500,620,634,539,585,558,530,539,534,485,545
,ASSAULT 3 AND RELATED OFFENSES        ,706,811,678,583,623,590,557,608,577,555,550,548,599,593,549,377,369,304
,INTOXICATED & IMPAIRED DRIVING              ,36,21,34,24,35,69,88,81,83,104,85,76,65,78,103,88,62,123
,VEHICLE AND TRAFFIC LAWS              ,106,87,83,71,46,41,57,27,33,57,66,48,45,66,34,53,44,42
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,555,514,469,505,490,451,427,321,421,426,450,456,502,407,358,400,408,386
,CRIMINAL TRESPASS,63,41,27,35,37,52,64,46,92,56,120,96,148,101,98,86,61,74
,UNAUTHORIZED USE OF A VEHICLE           ,18,17,23,22,18,12,14,18,15,10,20,18,31,22,40,24,46,30
,OFFENSES AGAINST THE PERSON (7)      ,10,67,19,3,5,12,5,7,9,3,16,16,12,18,10,16,13,17
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),55,60,48,51,69,67,82,62,59,72,70,79,70,66,73,59,35,41
,ADMINISTRATIVE CODE (6)            ,34,36,29,32,24,23,15,20,27,23,25,26,24,35,40,27,37,26
,FRAUDS (3)                    ,89,199,28,35,19,27,16,19,30,12,31,22,32,16,34,24,24,21
,AGGRAVATED HARASSMENT 2               ,576,604,444,434,479,362,430,364,327,364,350,350,336,324,179,289,301,215
,OTHER MISDEMEANORS (8),205,212,113,90,110,108,95,153,156,126,114,206,350,333,374,526,420,308
,TOTAL MISDEMEANOR OFFENSES,3989,3995,3284,2854,3002,3051,3269,3079,3133,3078,3148,3229,3379,3019,2921,2831,2732,2642
70,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15,19,34,19,39,14,13,28,16,21,15,16,17,11,15,16,8,21
,MISDEMEANOR SEX CRIMES (4),105,96,106,95,77,78,90,112,97,101,79,74,84,66,84,68,74,69
,MISDEMEANOR DANGEROUS DRUGS  (1),1234,976,1125,992,704,1012,1091,1323,1054,877,1145,1187,991,691,502,278,356,561
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,44,57,54,59,70,88,129,142,130,190,178,164,115,105,60,72,71,50
,PETIT LARCENY                         ,1598,1567,1432,1505,1444,1320,1252,1135,1268,1467,1353,1578,1481,1436,1542,1443,1357,1439
,ASSAULT 3 AND RELATED OFFENSES        ,1137,1202,979,1041,1117,983,1120,985,1000,829,904,840,926,907,943,720,681,676
,INTOXICATED & IMPAIRED DRIVING              ,48,39,38,31,65,97,119,120,151,110,98,53,36,60,76,69,118,99
,VEHICLE AND TRAFFIC LAWS              ,194,160,109,91,74,76,66,67,63,84,80,89,72,99,79,116,97,83
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,989,994,885,991,883,673,639,619,687,547,567,573,671,675,485,582,519,480
,CRIMINAL TRESPASS,76,67,52,37,56,69,73,164,189,220,195,165,134,88,116,86,64,95
,UNAUTHORIZED USE OF A VEHICLE           ,40,27,22,21,18,14,22,14,20,25,32,21,25,46,42,51,43,33
,OFFENSES AGAINST THE PERSON (7)      ,24,24,20,14,14,16,16,18,19,15,18,15,8,18,16,9,10,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),117,102,95,90,64,109,86,104,87,92,82,87,83,90,113,63,56,67
,ADMINISTRATIVE CODE (6)            ,30,24,17,22,19,19,15,22,10,14,13,17,19,18,10,11,18,5
,FRAUDS (3)                    ,210,182,76,137,66,50,45,36,38,56,55,44,29,42,64,58,44,36
,AGGRAVATED HARASSMENT 2               ,760,765,506,655,730,661,653,651,502,467,458,455,487,493,373,352,420,347
,OTHER MISDEMEANORS (8),426,282,235,181,253,262,133,169,179,342,501,341,343,465,418,545,478,416
,TOTAL MISDEMEANOR OFFENSES,7047,6583,5785,5981,5693,5541,5562,5709,5510,5457,5773,5719,5521,5310,4938,4539,4414,4486
71,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,22,15,31,28,28,10,24,22,11,17,21,20,25,27,17,14,13,22
,MISDEMEANOR SEX CRIMES (4),67,94,68,46,57,62,72,77,70,77,68,74,60,54,62,70,59,51
,MISDEMEANOR DANGEROUS DRUGS  (1),1317,1589,1813,1132,687,1110,1356,1432,714,923,1199,1542,1116,832,768,620,671,600
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,74,88,106,92,101,63,115,123,122,122,140,120,75,63,54,61,52,30
,PETIT LARCENY                         ,1326,1119,1122,1111,1115,1160,917,895,867,1034,1011,994,930,1004,981,969,964,975
,ASSAULT 3 AND RELATED OFFENSES        ,1130,1199,1067,1232,998,999,921,909,966,989,1015,818,747,811,827,622,604,555
,INTOXICATED & IMPAIRED DRIVING              ,35,36,39,40,65,53,62,78,88,80,73,50,44,61,73,71,46,50
,VEHICLE AND TRAFFIC LAWS              ,163,126,107,88,81,58,80,54,63,73,75,65,81,77,83,83,83,80
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,850,697,632,710,635,734,703,664,583,562,584,573,548,449,531,491,596,544
,CRIMINAL TRESPASS,109,80,136,126,67,62,66,144,147,150,174,139,59,55,94,121,138,95
,UNAUTHORIZED USE OF A VEHICLE           ,28,48,32,25,16,10,11,26,18,16,22,18,12,19,30,12,25,12
,OFFENSES AGAINST THE PERSON (7)      ,17,14,14,22,19,19,18,25,30,19,15,14,14,14,18,17,12,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),80,92,70,68,84,116,105,110,138,145,181,172,116,122,125,128,120,100
,ADMINISTRATIVE CODE (6)            ,47,48,43,38,34,30,24,12,22,23,14,15,26,26,29,23,23,19
,FRAUDS (3)                    ,89,183,38,82,86,57,42,57,69,65,54,52,40,73,74,74,60,37
,AGGRAVATED HARASSMENT 2               ,682,730,611,640,662,566,494,513,535,465,498,434,404,375,398,354,364,345
,OTHER MISDEMEANORS (8),355,253,232,205,262,245,181,147,203,237,274,323,409,379,352,523,449,431
,TOTAL MISDEMEANOR OFFENSES,6391,6411,6161,5685,4997,5354,5191,5288,4646,4997,5418,5423,4706,4441,4516,4253,4279,3954
72,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,16,25,11,14,7,11,19,18,16,15,17,46,27,41,10,8,5
,MISDEMEANOR SEX CRIMES (4),42,57,57,50,69,49,69,69,79,56,67,68,72,66,87,74,70,83
,MISDEMEANOR DANGEROUS DRUGS  (1),1066,1010,1266,953,612,722,1088,1140,676,832,919,841,812,530,478,388,328,443
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,33,31,41,60,50,82,78,58,74,94,113,73,79,69,85,59,44,24
,PETIT LARCENY                         ,1125,1018,989,1085,900,739,773,698,911,788,787,739,821,888,813,784,819,942
,ASSAULT 3 AND RELATED OFFENSES        ,853,748,673,657,604,668,636,728,643,622,660,600,644,557,564,495,521,518
,INTOXICATED & IMPAIRED DRIVING              ,99,85,105,97,121,177,213,186,129,100,105,98,155,206,227,184,165,166
,VEHICLE AND TRAFFIC LAWS              ,149,112,93,83,65,49,49,56,77,56,56,69,81,76,57,61,67,63
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,668,621,596,542,595,551,663,595,742,637,635,607,590,475,452,519,396,433
,CRIMINAL TRESPASS,52,47,48,68,75,112,71,68,67,42,64,67,69,111,118,96,81,88
,UNAUTHORIZED USE OF A VEHICLE           ,31,28,19,26,16,12,7,8,10,12,19,9,15,24,38,14,24,20
,OFFENSES AGAINST THE PERSON (7)      ,7,21,17,11,11,4,7,13,10,12,14,6,13,13,4,8,23,18
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),94,83,84,93,38,72,77,76,75,54,88,83,71,68,56,49,30,50
,ADMINISTRATIVE CODE (6)            ,12,26,10,11,16,7,6,6,12,10,6,5,9,5,12,3,3,3
,FRAUDS (3)                    ,103,117,36,60,26,34,26,47,36,19,27,25,41,27,39,34,41,34
,AGGRAVATED HARASSMENT 2               ,480,498,361,411,372,319,381,321,309,313,346,312,272,288,205,224,218,215
,OTHER MISDEMEANORS (8),507,619,465,443,486,478,232,264,241,267,285,216,235,267,390,453,472,416
,TOTAL MISDEMEANOR OFFENSES,5328,5137,4885,4661,4070,4082,4387,4352,4109,3930,4206,3835,4025,3697,3666,3455,3310,3521
73,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,26,29,49,34,23,37,24,26,14,24,32,73,44,45,42,35,19,17
,MISDEMEANOR SEX CRIMES (4),79,98,65,79,82,90,128,113,103,103,111,118,133,111,97,109,108,122
,MISDEMEANOR DANGEROUS DRUGS  (1),2223,2106,1956,2388,1944,1792,2490,3160,3093,3667,3660,3855,2494,1362,1385,1043,640,795
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,82,93,135,128,102,120,218,281,282,275,265,318,203,209,127,125,70,58
,PETIT LARCENY                         ,841,901,1026,900,990,1103,1091,816,805,941,995,1077,1230,1044,935,986,940,934
,ASSAULT 3 AND RELATED OFFENSES        ,1206,1333,1202,1270,1344,1291,1235,1209,1251,1504,1498,1438,1596,1518,1462,1093,1035,1019
,INTOXICATED & IMPAIRED DRIVING              ,60,54,38,41,44,56,47,108,87,89,87,55,59,97,107,87,81,78
,VEHICLE AND TRAFFIC LAWS              ,148,127,132,120,101,61,75,78,100,119,115,100,87,82,86,90,94,117
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,585,617,720,709,691,731,787,714,706,780,774,785,785,748,773,745,777,707
,CRIMINAL TRESPASS,199,160,191,321,255,215,316,335,517,608,649,753,643,363,282,230,233,186
,UNAUTHORIZED USE OF A VEHICLE           ,17,24,27,21,22,22,18,19,13,13,11,22,31,26,28,23,21,24
,OFFENSES AGAINST THE PERSON (7)      ,26,17,19,13,16,15,20,15,26,13,26,27,21,35,31,33,27,34
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),179,166,131,182,181,211,205,275,258,342,282,283,310,280,216,144,107,116
,ADMINISTRATIVE CODE (6)            ,11,26,23,23,31,18,19,17,23,20,13,14,16,17,22,24,24,17
,FRAUDS (3)                    ,95,114,82,78,43,43,45,40,61,72,80,120,136,90,98,121,115,79
,AGGRAVATED HARASSMENT 2               ,639,596,537,637,571,524,586,561,560,586,547,519,592,558,436,413,506,442
,OTHER MISDEMEANORS (8),662,593,464,486,464,517,395,463,616,769,1052,1093,1234,1292,920,1233,1335,846
,TOTAL MISDEMEANOR OFFENSES,7078,7054,6797,7430,6904,6846,7699,8230,8515,9925,10197,10650,9614,7877,7047,6534,6132,5591
75,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,32,56,61,88,70,89,71,54,49,69,65,96,58,61,41,40,22,24
,MISDEMEANOR SEX CRIMES (4),113,129,121,107,109,120,175,174,151,145,180,157,157,131,134,178,214,163
,MISDEMEANOR DANGEROUS DRUGS  (1),5265,4085,2959,3280,2591,2921,2935,3443,3703,4709,4771,4849,3647,2865,2594,1471,864,728
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,116,128,141,127,142,206,178,227,235,287,338,304,324,248,220,146,68,55
,PETIT LARCENY                         ,1796,1802,1576,1760,2051,1746,1609,1616,1606,1589,1515,1691,1862,1814,2158,2184,2103,2415
,ASSAULT 3 AND RELATED OFFENSES        ,2092,2295,2076,2030,2164,2051,2008,2094,2001,2182,2302,2087,2279,2220,2374,1584,1568,1428
,INTOXICATED & IMPAIRED DRIVING              ,68,101,79,90,146,156,151,191,193,238,205,146,172,261,170,141,176,159
,VEHICLE AND TRAFFIC LAWS              ,333,218,322,242,163,160,157,152,113,133,188,149,166,203,199,189,206,221
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1053,1016,1047,1087,1127,1224,1131,1357,1235,1437,1303,1441,1303,1142,1239,1155,1026,1272
,CRIMINAL TRESPASS,528,333,303,324,305,259,276,248,380,453,464,459,475,451,379,312,197,169
,UNAUTHORIZED USE OF A VEHICLE           ,63,53,56,40,46,39,36,30,19,34,31,27,22,48,49,38,53,38
,OFFENSES AGAINST THE PERSON (7)      ,30,38,37,42,77,51,41,64,52,33,46,42,55,45,45,40,30,47
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),270,145,160,180,193,228,240,304,316,398,335,340,301,323,374,336,222,193
,ADMINISTRATIVE CODE (6)            ,118,72,70,57,54,63,65,38,53,54,39,54,52,48,80,70,52,58
,FRAUDS (3)                    ,198,236,113,157,90,102,89,116,176,171,158,132,171,133,168,189,150,95
,AGGRAVATED HARASSMENT 2               ,1168,1083,983,944,1030,1053,939,932,830,959,998,890,924,864,604,688,641,631
,OTHER MISDEMEANORS (8),1998,1701,1458,976,1038,894,577,550,732,863,989,1161,1630,1653,1232,1803,1703,1089
,TOTAL MISDEMEANOR OFFENSES,15241,13491,11562,11531,11396,11362,10678,11590,11844,13754,13927,14025,13598,12510,12060,10564,9295,8785
76,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,5,12,8,13,20,22,22,24,18,15,24,20,18,8,7,9,9
,MISDEMEANOR SEX CRIMES (4),19,22,17,29,30,21,23,18,18,24,25,22,21,16,19,22,23,23
,MISDEMEANOR DANGEROUS DRUGS  (1),869,854,1020,925,534,505,560,575,528,401,337,304,567,279,293,286,416,456
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,16,18,13,18,16,26,34,45,31,49,47,25,36,17,13,21,29,26
,PETIT LARCENY                         ,584,556,556,576,565,646,532,462,471,451,432,528,563,509,508,450,411,411
,ASSAULT 3 AND RELATED OFFENSES        ,379,356,301,302,340,368,273,249,274,260,324,283,273,257,193,162,179,180
,INTOXICATED & IMPAIRED DRIVING              ,39,60,44,102,106,132,112,98,60,56,51,47,53,62,58,46,76,63
,VEHICLE AND TRAFFIC LAWS              ,59,69,78,187,220,224,90,33,37,27,26,15,21,29,25,18,31,19
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,394,379,324,372,332,350,314,372,326,296,299,322,315,251,308,274,207,181
,CRIMINAL TRESPASS,668,398,388,224,90,138,188,121,169,244,174,154,171,111,115,142,183,133
,UNAUTHORIZED USE OF A VEHICLE           ,13,11,15,8,14,10,11,6,5,2,5,3,3,6,5,3,8,5
,OFFENSES AGAINST THE PERSON (7)      ,20,12,15,11,10,7,6,6,7,6,6,6,3,3,3,9,5,6
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),56,68,56,42,16,68,70,51,50,51,61,58,41,43,31,30,37,40
,ADMINISTRATIVE CODE (6)            ,4,3,3,3,2,2,4,3,3,5,1,1,1,2,3,2,4,1
,FRAUDS (3)                    ,45,83,67,41,38,27,28,21,18,18,23,19,27,19,22,17,32,16
,AGGRAVATED HARASSMENT 2               ,243,252,213,193,209,196,196,189,193,170,187,157,165,155,93,94,125,102
,OTHER MISDEMEANORS (8),104,64,38,41,34,37,35,37,33,95,47,34,58,68,69,127,118,105
,TOTAL MISDEMEANOR OFFENSES,3514,3210,3160,3082,2569,2777,2498,2308,2247,2173,2060,2002,2338,1845,1766,1710,1893,1776
77,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15,32,29,38,42,22,15,14,17,18,17,27,19,17,17,15,12,14
,MISDEMEANOR SEX CRIMES (4),71,57,72,49,57,59,73,75,76,52,72,76,83,73,72,72,67,89
,MISDEMEANOR DANGEROUS DRUGS  (1),2779,1772,1396,1510,1364,1842,2123,2205,2147,2084,2066,1949,1386,1351,1114,515,422,423
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,60,34,78,70,51,93,73,112,139,106,115,125,78,80,56,33,33,18
,PETIT LARCENY                         ,1102,1039,973,1058,981,1003,883,878,905,812,840,983,941,998,955,836,833,843
,ASSAULT 3 AND RELATED OFFENSES        ,1282,1295,1019,971,954,897,791,916,820,837,951,923,1023,968,914,666,645,593
,INTOXICATED & IMPAIRED DRIVING              ,30,31,34,35,33,34,31,78,66,59,62,63,57,83,64,55,70,71
,VEHICLE AND TRAFFIC LAWS              ,166,153,98,87,71,68,68,55,71,78,71,95,77,83,69,78,73,59
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,780,607,579,641,623,595,681,678,627,643,574,571,601,506,504,490,538,536
,CRIMINAL TRESPASS,233,110,75,101,121,126,129,130,246,393,407,340,221,166,132,59,66,74
,UNAUTHORIZED USE OF A VEHICLE           ,19,26,21,23,18,24,10,29,15,14,21,16,18,18,23,12,13,13
,OFFENSES AGAINST THE PERSON (7)      ,23,14,18,7,14,13,14,21,10,11,15,10,19,14,8,5,12,17
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),115,121,98,126,131,133,146,152,134,184,194,165,147,158,117,78,64,107
,ADMINISTRATIVE CODE (6)            ,38,39,24,23,23,31,15,17,24,20,15,19,15,30,21,24,18,13
,FRAUDS (3)                    ,83,118,74,81,54,42,32,40,29,22,45,22,45,41,42,27,50,38
,AGGRAVATED HARASSMENT 2               ,619,551,484,494,466,377,424,440,368,398,388,457,402,348,303,299,324,361
,OTHER MISDEMEANORS (8),554,556,266,305,299,227,216,169,303,315,466,331,525,463,398,678,624,564
,TOTAL MISDEMEANOR OFFENSES,7969,6555,5338,5619,5302,5586,5724,6009,5997,6046,6319,6172,5657,5397,4809,3942,3864,3833
78,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12,7,7,4,4,7,12,17,8,10,12,22,40,62,21,5,10,3
,MISDEMEANOR SEX CRIMES (4),31,23,23,28,21,26,34,29,21,22,20,32,36,26,20,36,34,36
,MISDEMEANOR DANGEROUS DRUGS  (1),258,339,279,173,123,234,217,202,231,244,171,193,185,162,133,178,177,171
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,36,26,13,13,24,14,38,22,23,30,19,17,12,21,16,24,23,21
,PETIT LARCENY                         ,830,791,840,912,817,829,786,722,814,698,895,858,1078,1371,1308,1081,1234,1183
,ASSAULT 3 AND RELATED OFFENSES        ,302,302,240,228,279,277,237,262,213,199,204,187,225,239,251,234,232,258
,INTOXICATED & IMPAIRED DRIVING              ,24,17,26,15,43,51,90,67,52,32,25,31,26,35,59,45,83,81
,VEHICLE AND TRAFFIC LAWS              ,72,51,49,41,41,34,34,24,17,30,46,29,46,36,42,34,44,41
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,419,317,399,351,334,318,268,344,357,288,301,292,278,266,329,281,294,256
,CRIMINAL TRESPASS,97,100,51,49,68,62,41,34,56,47,50,68,55,67,52,60,37,51
,UNAUTHORIZED USE OF A VEHICLE           ,12,5,11,10,5,7,9,7,2,5,6,11,7,12,17,4,16,13
,OFFENSES AGAINST THE PERSON (7)      ,4,6,2,5,2,5,5,5,3,2,4,5,2,2,3,5,4,6
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),37,51,30,42,45,30,45,39,36,27,31,38,39,44,32,42,24,29
,ADMINISTRATIVE CODE (6)            ,10,11,6,3,7,0,4,2,1,2,1,1,2,2,5,5,3,2
,FRAUDS (3)                    ,33,55,38,21,19,17,11,21,18,10,23,14,14,15,18,23,27,22
,AGGRAVATED HARASSMENT 2               ,271,290,222,222,215,207,164,189,186,149,115,118,145,162,123,130,153,136
,OTHER MISDEMEANORS (8),247,204,162,171,120,104,89,66,59,91,74,87,158,261,310,468,267,263
,TOTAL MISDEMEANOR OFFENSES,2695,2595,2398,2288,2167,2222,2084,2052,2097,1886,1997,2003,2348,2783,2739,2655,2662,2572
